Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
ID00106,Male,19,Economics,87.8,3.1,3.59,8.4,8,3.6
ID01211,Male,24,Business,74.9,5.3,2.89,4.0,9,2.99
ID00509,Female,23,Mathematics,89.9,5.5,3.36,5.1,8,3.83
ID02502,Female,19,Psychology,85.5,2.2,2.7,8.3,8,2.95
ID02617,Male,19,Mathematics,73.9,5.4,3.85,8.3,12,3.94
ID03488,Male,21,Engineering,83.9,3.5,2.11,7.3,5,2.45
ID03924,Male,18,Mathematics,94.3,8.8,2.54,4.6,6,3.01
ID04171,Male,20,Mathematics,66.2,2.9,1.63,6.5,7,1.66
ID04906,Male,18,Business,95.5,5.3,2.54,8.4,7,2.95
ID03867,Male,20,Engineering,100.0,3.8,3.21,7.0,4,3.52
ID00389,Female,19,Business,84.2,2.9,2.18,5.8,14,2.38
ID04017,Female,18,Computer Science,85.2,5.7,4.0,8.5,11,4.0
ID03407,Female,18,Business,91.8,7.8,3.11,5.1,12,3.66
ID02107,Female,24,Psychology,73.7,6.8,3.35,7.3,5,3.6
ID04655,Male,18,Psychology,63.6,8.0,2.95,9.0,9,2.93
ID04490,Female,23,Psychology,73.7,1.7,2.57,5.9,10,2.59
ID03524,Male,20,Mathematics,59.7,1.5,2.85,6.1,17,2.35
ID00849,Male,23,Psychology,92.3,1.8,3.39,6.6,8,3.56
ID01538,Female,18,Computer Science,82.8,9.9,3.45,7.1,4,3.92
ID02295,Male,20,Economics,70.6,3.2,3.07,5.7,6,3.17
ID02790,Female,23,Mathematics,80.0,2.8,3.22,7.2,9,3.66
ID01035,Male,21,Engineering,100.0,8.4,3.32,9.3,10,3.91
ID04644,Male,18,Engineering,97.0,3.5,4.0,6.5,13,4.0
ID00246,Female,19,Psychology,100.0,2.3,3.73,6.4,9,4.0
ID00302,Male,21,Engineering,79.1,1.8,2.64,6.3,12,2.42
ID03621,Female,23,Business,70.5,2.7,3.33,7.1,8,3.24
ID00418,Male,24,Economics,81.2,2.1,2.37,5.7,10,2.52
ID00655,Male,18,Engineering,100.0,4.0,2.23,10.0,9,2.45
ID03464,Female,22,Business,74.8,6.0,3.46,7.2,12,3.66
ID04683,Female,18,Engineering,74.1,1.8,3.83,5.8,8,3.55
ID03147,Female,19,Engineering,100.0,1.7,2.77,6.7,3,3.03
ID04607,Female,21,Mathematics,87.2,4.0,2.91,6.6,5,3.44
ID01225,Male,18,Engineering,80.9,9.7,2.65,9.6,10,3.17
ID02991,Male,19,Psychology,91.5,6.0,3.83,6.5,11,4.0
ID01470,Female,23,Mathematics,77.2,5.6,3.4,9.5,5,3.53
ID04921,Female,23,Economics,79.6,3.0,3.62,7.6,9,3.82
ID02729,Male,22,Engineering,99.9,7.4,3.36,7.0,4,3.81
ID02386,Female,24,Business,100.0,5.3,3.06,8.7,9,3.34
ID00385,Female,19,Psychology,77.6,5.6,3.7,6.2,10,3.81
ID00753,Female,24,Mathematics,86.5,6.3,3.54,7.5,9,4.0
ID00705,Male,18,Psychology,95.1,4.7,3.52,6.7,4,3.86
ID02815,Female,20,Psychology,100.0,3.3,2.8,9.6,7,3.04
ID00930,Male,24,Economics,89.3,10.9,3.36,8.6,4,3.8
ID01086,Male,23,Psychology,81.5,11.0,3.0,6.8,6,3.62
ID00689,Female,24,Psychology,97.1,1.6,3.2,4.6,5,3.32
ID02924,Male,18,Economics,95.9,7.4,4.0,7.3,8,4.0
ID01146,Female,21,Engineering,58.4,2.8,3.0,6.0,9,2.82
ID00612,Female,24,Business,88.4,4.8,3.38,6.7,6,3.67
ID01502,Male,20,Economics,70.5,2.7,3.14,8.0,6,3.11
ID03977,Male,21,Economics,68.1,3.8,2.76,6.5,14,2.73
ID02379,Male,22,Psychology,71.2,6.8,2.59,9.0,9,2.84
ID03451,Male,18,Computer Science,100.0,8.2,3.2,4.9,8,3.8
ID04960,Female,19,Economics,59.0,3.4,3.31,6.6,9,3.06
ID03830,Male,20,Engineering,87.0,5.9,3.32,4.7,8,3.54
ID03008,Male,21,Computer Science,81.8,5.4,2.38,7.3,7,2.97
ID02292,Male,19,Engineering,100.0,4.7,3.16,7.2,6,3.38
ID00441,Male,18,Mathematics,72.4,1.4,2.57,6.2,7,2.3
ID04156,Male,19,Business,77.1,1.9,2.52,8.0,8,2.34
ID00090,Male,21,Computer Science,87.7,10.7,3.02,7.6,9,3.88
ID04196,Male,22,Computer Science,75.6,8.2,3.62,9.1,12,3.76
ID03857,Male,23,Business,64.2,4.3,3.98,4.7,3,4.0
ID03440,Female,21,Engineering,77.9,6.6,2.25,7.9,10,2.37
ID01032,Female,19,Mathematics,100.0,6.2,3.07,7.6,6,3.34
ID02390,Female,18,Computer Science,76.2,3.2,3.56,8.2,11,3.48
ID04782,Male,22,Business,96.1,0.8,3.52,6.5,7,3.74
ID01850,Female,23,Mathematics,98.1,3.9,2.61,9.0,6,3.04
ID02269,Male,23,Engineering,72.2,1.1,2.9,5.4,8,2.68
ID03297,Female,18,Business,71.3,2.4,3.44,7.1,11,3.31
ID04917,Male,24,Business,95.8,4.3,3.35,7.0,5,3.86
ID03082,Female,19,Economics,75.8,5.5,3.05,8.4,8,2.92
ID03685,Female,18,Business,68.9,3.6,3.64,9.1,5,3.38
ID03357,Female,23,Mathematics,72.3,0.7,2.81,8.9,10,2.73
ID00848,Female,19,Engineering,89.4,1.0,3.11,7.5,6,3.12
ID01495,Female,22,Mathematics,72.7,3.6,3.44,9.4,6,3.38
ID01788,Female,22,Economics,100.0,2.8,3.69,6.4,4,3.86
ID01401,Male,24,Psychology,77.8,2.2,3.32,6.8,5,3.47
ID02094,Male,21,Psychology,68.9,1.2,2.69,5.6,9,2.49
ID01288,Male,21,Engineering,67.8,2.4,2.66,6.5,9,2.8
ID02496,Male,23,Mathematics,74.1,4.4,2.38,7.2,9,2.47
ID02489,Female,24,Business,90.2,2.7,3.34,9.2,3,3.46
ID00730,Male,22,Mathematics,76.6,1.8,3.2,7.8,6,2.95
ID04125,Female,23,Psychology,92.2,9.3,3.64,7.2,5,4.0
ID01777,Female,20,Psychology,100.0,4.1,2.69,7.9,5,3.0
ID04648,Male,22,Engineering,76.0,10.1,3.16,6.9,8,3.35
ID02131,Male,20,Psychology,100.0,4.7,3.08,8.1,14,3.36
ID04514,Female,24,Mathematics,83.0,3.7,3.31,7.2,12,3.83
ID04396,Female,23,Business,98.8,1.6,3.54,4.0,8,3.72
ID01837,Male,19,Mathematics,77.1,5.1,3.49,7.1,6,3.77
ID03358,Male,18,Computer Science,85.3,7.7,3.39,5.0,6,3.69
ID02005,Male,24,Economics,100.0,3.7,3.81,6.9,11,4.0
ID02137,Male,23,Computer Science,100.0,7.7,2.77,6.6,10,3.22
ID01842,Male,21,Psychology,96.7,2.9,3.61,8.6,8,3.96
ID02312,Female,24,Computer Science,47.8,7.5,3.25,7.4,12,3.19
ID03215,Male,23,Economics,64.4,9.7,3.47,9.6,9,3.77
ID03856,Male,18,Engineering,83.0,6.9,2.55,8.1,8,2.85
ID00077,Female,22,Psychology,59.3,5.1,3.8,4.9,4,3.7
ID01168,Male,21,Business,97.3,6.4,2.77,7.2,9,3.11
ID01189,Male,21,Computer Science,97.4,7.7,3.06,8.6,6,3.58
ID03409,Male,22,Economics,98.9,6.8,2.86,7.4,9,3.55
ID03177,Female,22,Mathematics,94.6,4.6,4.0,6.6,5,4.0
ID01934,Female,22,Business,88.2,2.9,3.03,7.7,6,3.33
ID04472,Female,18,Economics,68.4,5.0,3.19,6.8,8,3.29
ID01979,Female,21,Engineering,70.1,2.6,2.82,7.5,10,2.84
ID02374,Male,23,Business,100.0,2.6,3.51,8.0,10,3.75
ID02244,Female,19,Engineering,84.5,3.5,3.66,4.9,13,3.79
ID04941,Male,18,Economics,80.2,5.2,3.42,6.1,6,3.67
ID03197,Female,22,Psychology,100.0,4.0,3.66,4.8,9,3.72
ID02825,Male,19,Economics,97.6,4.0,2.48,5.8,7,2.56
ID02255,Female,23,Psychology,65.4,4.5,3.49,6.3,5,3.52
ID04821,Male,19,Engineering,100.0,3.8,3.96,4.5,3,4.0
ID02041,Female,20,Economics,77.8,9.1,3.62,6.4,4,3.85
ID03423,Female,21,Business,62.4,4.5,4.0,4.5,10,3.93
ID02795,Male,18,Engineering,84.3,5.9,2.8,7.4,11,3.4
ID02783,Female,18,Computer Science,100.0,3.7,3.39,5.1,5,3.71
ID00772,Female,23,Psychology,56.9,1.9,2.43,5.5,5,2.11
ID01433,Male,20,Psychology,73.6,1.4,4.0,7.7,2,3.76
ID03347,Male,18,Computer Science,63.6,3.7,3.23,8.6,7,2.98
ID02877,Male,19,Business,72.3,5.3,2.51,8.1,2,2.56
ID00411,Male,19,Business,78.5,0.9,2.67,8.8,12,2.41
ID01411,Male,23,Engineering,92.9,5.6,3.04,5.0,6,3.27
ID01143,Female,20,Economics,67.1,1.2,3.56,8.1,8,3.25
ID04434,Female,24,Computer Science,63.3,3.9,2.96,8.7,6,2.99
ID01699,Female,18,Mathematics,64.1,9.5,3.62,7.8,9,4.0
ID01310,Female,20,Mathematics,72.2,4.5,3.23,8.5,8,3.02
ID01380,Female,24,Mathematics,82.0,8.5,3.08,5.8,6,3.44
ID03864,Male,18,Economics,99.1,5.8,2.63,8.1,6,2.93
ID00991,Female,20,Psychology,78.2,3.7,2.79,7.3,9,3.02
ID01695,Male,18,Mathematics,100.0,8.0,2.22,4.0,7,2.86
ID01873,Male,23,Business,81.3,4.0,3.69,8.9,4,4.0
ID03707,Female,24,Psychology,80.3,2.5,3.31,5.0,5,3.65
ID02503,Female,23,Mathematics,86.7,2.1,3.62,7.9,10,3.97
ID01972,Female,21,Engineering,88.2,8.4,2.96,8.2,8,3.37
ID02810,Female,23,Psychology,80.5,3.9,4.0,7.6,4,4.0
ID01106,Male,23,Engineering,75.8,2.0,4.0,7.6,10,3.79
ID03394,Male,21,Computer Science,76.7,2.5,3.36,4.2,8,3.23
ID03683,Female,21,Computer Science,73.4,6.3,3.66,4.0,13,3.9
ID01854,Female,18,Computer Science,68.8,3.6,2.65,5.7,16,2.24
ID04720,Female,20,Business,87.6,3.8,2.83,4.7,11,3.07
ID02932,Female,24,Psychology,92.0,3.8,2.66,8.7,7,2.82
ID04552,Male,20,Psychology,69.7,5.3,3.0,5.6,7,3.16
ID01092,Female,23,Business,74.2,10.8,3.25,5.8,8,3.45
ID03525,Male,20,Mathematics,81.2,4.9,3.32,7.9,4,3.53
ID00676,Female,24,Mathematics,100.0,1.1,2.73,6.1,5,2.88
ID02133,Female,23,Mathematics,70.5,3.1,2.31,5.5,10,2.06
ID01805,Male,21,Economics,100.0,2.9,3.62,10.0,14,3.67
ID00340,Male,24,Business,79.2,3.7,2.66,7.9,4,2.61
ID04479,Female,21,Computer Science,73.8,5.8,3.71,7.6,7,3.82
ID00617,Male,20,Business,100.0,5.0,3.03,7.4,10,3.24
ID03944,Male,24,Business,99.2,1.9,3.07,6.1,11,3.2
ID03129,Female,24,Business,88.9,4.1,3.43,5.5,5,3.67
ID02829,Male,21,Psychology,60.8,1.5,3.2,9.5,7,2.95
ID00721,Female,21,Mathematics,93.6,6.1,2.43,7.5,4,3.0
ID02822,Male,20,Mathematics,75.6,3.4,3.76,7.4,11,3.78
ID00199,Female,18,Psychology,88.3,5.6,3.12,7.5,10,3.55
ID02483,Female,21,Business,91.9,6.6,2.85,6.0,5,3.42
ID02509,Female,18,Engineering,64.9,8.1,3.12,6.1,10,3.2
ID02666,Male,24,Mathematics,79.7,3.9,3.0,7.6,8,3.1
ID03870,Male,18,Economics,98.0,4.7,3.34,5.6,2,3.57
ID04425,Male,21,Psychology,81.4,5.9,2.82,7.4,7,3.43
ID02364,Male,20,Economics,84.3,3.4,3.7,5.4,8,3.98
ID02028,Female,19,Economics,93.9,2.2,3.18,6.6,10,3.26
ID03329,Male,20,Economics,100.0,7.6,3.54,9.0,8,3.95
ID00862,Male,22,Psychology,85.1,4.0,2.94,8.6,3,3.18
ID04048,Female,22,Computer Science,75.4,7.7,4.0,7.2,9,4.0
ID02270,Male,22,Engineering,99.5,2.3,3.23,4.0,7,3.57
ID04325,Female,20,Mathematics,94.7,3.3,3.27,7.3,4,3.57
ID00358,Female,22,Psychology,78.1,5.9,3.48,9.0,11,3.62
ID00729,Male,21,Economics,79.4,0.9,3.23,8.5,7,2.88
ID02462,Female,24,Business,52.4,11.3,2.17,10.0,9,2.01
ID02949,Male,24,Mathematics,61.7,2.8,3.85,6.1,10,3.94
ID01926,Male,21,Computer Science,100.0,1.0,2.57,7.4,6,2.9
ID02749,Female,23,Engineering,93.5,3.2,3.37,5.9,7,3.7
ID01698,Male,22,Computer Science,100.0,2.9,3.09,6.7,11,3.2
ID01633,Female,20,Mathematics,90.4,4.4,3.17,9.3,4,3.3
ID02358,Male,18,Economics,84.4,5.6,3.61,6.8,9,4.0
ID01714,Male,19,Psychology,62.3,2.8,1.35,7.7,8,1.16
ID01326,Male,24,Engineering,86.7,3.0,3.36,6.7,12,3.66
ID02907,Female,24,Computer Science,89.5,6.2,2.79,5.4,4,3.28
ID03035,Male,18,Business,82.1,5.0,3.76,7.8,8,4.0
ID03863,Male,23,Engineering,92.7,3.2,2.87,9.9,10,2.9
ID03909,Female,21,Economics,63.5,5.3,3.65,7.9,6,3.94
ID03228,Male,21,Engineering,100.0,9.0,2.3,5.7,13,2.63
ID01381,Male,20,Mathematics,54.1,2.3,2.4,5.0,7,2.12
ID02146,Female,19,Mathematics,82.3,3.3,2.92,9.7,6,3.04
ID04703,Female,18,Psychology,90.9,1.7,3.88,5.6,10,3.85
ID02234,Female,19,Engineering,87.9,2.4,3.19,8.7,6,3.36
ID00552,Female,24,Psychology,84.5,4.0,3.67,6.6,9,3.91
ID01589,Male,19,Mathematics,78.7,4.6,3.22,7.0,15,3.13
ID03239,Female,20,Psychology,100.0,2.9,3.25,7.6,8,3.53
ID01437,Male,20,Computer Science,87.1,6.0,2.88,8.4,2,3.06
ID04952,Male,21,Business,88.2,7.0,3.21,7.3,5,3.59
ID00108,Female,24,Psychology,93.4,2.7,1.84,7.8,7,2.17
ID00301,Male,21,Computer Science,88.7,8.7,3.05,4.7,10,3.37
ID02512,Female,21,Computer Science,100.0,3.4,2.62,5.7,7,2.95
ID01200,Male,24,Engineering,81.7,4.4,3.83,8.7,12,3.91
ID02984,Female,19,Computer Science,97.3,3.1,3.36,6.1,9,3.86
ID04628,Male,20,Psychology,91.8,6.5,3.41,6.8,9,4.0
ID00840,Female,18,Mathematics,64.2,9.1,2.92,6.0,8,3.26
ID02598,Male,23,Computer Science,85.3,2.1,2.6,6.9,9,2.93
ID04221,Male,19,Economics,92.0,3.8,2.11,8.6,12,2.24
ID00261,Female,22,Psychology,96.0,8.5,3.43,8.0,9,3.91
ID01859,Female,20,Economics,76.6,9.6,3.45,9.4,8,3.72
ID02393,Male,22,Business,83.6,3.3,2.6,6.4,10,3.06
ID02541,Female,20,Economics,63.6,5.4,1.59,8.3,5,1.46
ID01897,Female,22,Psychology,78.8,2.4,2.94,5.7,9,2.75
ID03242,Male,22,Computer Science,84.1,3.7,2.77,6.4,6,2.92
ID03164,Male,24,Mathematics,87.7,8.0,3.0,5.8,10,3.35
ID01460,Female,21,Mathematics,70.3,1.4,2.78,5.5,8,2.45
ID00270,Male,24,Engineering,93.1,7.7,2.48,7.7,5,3.02
ID01759,Male,22,Economics,100.0,3.9,3.04,5.7,6,3.3
ID03760,Female,23,Psychology,83.2,2.2,2.88,8.0,14,3.01
ID00162,Female,24,Mathematics,55.9,6.2,2.72,6.8,7,2.69
ID03275,Female,18,Engineering,87.5,2.5,3.23,7.4,7,3.33
ID00967,Female,19,Computer Science,53.9,4.6,2.94,9.7,8,2.62
ID02766,Female,19,Psychology,88.4,9.2,2.96,8.4,7,3.63
ID04770,Male,23,Psychology,72.7,2.6,1.92,5.3,8,1.61
ID01305,Female,19,Psychology,67.5,2.3,2.44,7.5,7,2.42
ID04947,Female,18,Business,97.3,2.0,3.2,6.3,10,3.37
ID04833,Female,21,Computer Science,81.8,6.8,3.27,4.5,9,3.47
ID04565,Male,20,Psychology,62.4,2.6,3.33,8.2,9,3.1
ID04453,Female,18,Economics,100.0,2.8,2.95,6.9,5,3.13
ID03658,Male,24,Computer Science,67.6,5.5,3.15,6.4,9,3.27
ID00981,Male,22,Psychology,72.9,4.0,3.02,6.8,6,2.9
ID00581,Male,24,Mathematics,89.4,8.1,2.85,9.0,16,2.9
ID03713,Female,19,Computer Science,78.5,4.7,3.36,4.9,7,3.21
ID00460,Male,21,Engineering,97.7,2.8,3.56,6.8,8,3.81
ID01626,Female,24,Engineering,100.0,2.2,2.51,7.3,5,2.86
ID01851,Male,24,Computer Science,100.0,4.5,2.9,7.6,9,3.11
ID01886,Male,22,Economics,62.8,6.5,3.13,5.5,6,3.05
ID02226,Male,20,Business,91.8,3.5,2.83,7.3,14,3.13
ID03916,Male,22,Engineering,72.6,5.8,2.6,9.1,10,2.74
ID01508,Male,21,Computer Science,81.8,6.5,3.18,4.6,9,3.62
ID01797,Female,21,Engineering,78.1,2.3,2.38,6.5,14,2.19
ID02086,Male,24,Psychology,77.5,5.1,2.77,5.0,10,2.64
ID00312,Male,23,Mathematics,93.6,7.5,2.24,6.9,7,2.94
ID01395,Male,19,Economics,100.0,4.8,3.38,5.0,6,3.76
ID03283,Female,19,Mathematics,98.5,1.5,2.65,4.4,9,2.71
ID01613,Male,18,Business,70.2,5.2,3.63,7.5,5,3.7
ID02785,Female,24,Business,73.9,4.7,2.8,5.5,9,2.89
ID02221,Female,20,Mathematics,58.2,1.5,3.26,5.9,10,2.97
ID01307,Female,18,Computer Science,59.0,8.6,2.74,7.0,7,2.9
ID01801,Female,22,Computer Science,100.0,3.4,3.71,5.2,6,3.79
ID02843,Female,23,Business,100.0,2.4,3.71,10.0,10,3.91
ID01940,Male,18,Psychology,60.5,2.8,2.45,8.3,6,2.17
ID00363,Male,19,Economics,68.2,4.4,4.0,9.3,6,3.91
ID04149,Female,20,Computer Science,81.4,4.1,2.32,5.7,8,2.45
ID00458,Male,24,Engineering,69.1,5.6,4.0,6.8,11,4.0
ID00414,Female,23,Engineering,77.9,5.2,3.49,7.2,4,3.47
ID01287,Male,21,Mathematics,87.5,2.6,3.24,8.0,11,3.57
ID04232,Female,23,Economics,91.9,3.6,3.02,5.2,13,3.34
ID00024,Male,22,Business,100.0,2.6,2.76,8.3,6,2.79
ID04797,Male,20,Computer Science,100.0,5.5,3.61,8.1,12,3.96
ID04266,Male,19,Computer Science,97.3,4.1,3.4,9.8,10,3.66
ID02604,Male,22,Mathematics,93.9,6.4,3.97,9.3,8,4.0
ID00609,Male,18,Psychology,82.4,3.7,2.96,5.9,7,3.19
ID03445,Female,24,Computer Science,88.7,1.1,3.23,9.0,9,3.28
ID02108,Female,20,Mathematics,100.0,5.7,3.04,6.0,5,3.43
ID02130,Male,21,Mathematics,82.3,1.5,3.11,4.0,9,3.4
ID03045,Female,21,Psychology,83.2,4.9,2.73,6.8,9,2.99
ID02664,Female,19,Engineering,86.9,1.1,2.71,7.0,14,2.97
ID00118,Male,22,Mathematics,80.5,2.0,2.4,6.9,5,2.67
ID00832,Male,23,Business,61.0,2.1,3.18,10.0,4,2.95
ID04264,Male,22,Economics,53.1,2.9,2.77,6.9,10,2.37
ID00423,Male,18,Mathematics,71.0,8.1,3.75,4.8,8,4.0
ID00855,Male,21,Psychology,86.9,2.6,3.28,4.2,10,3.32
ID01708,Male,21,Computer Science,95.7,7.4,2.92,6.4,7,3.44
ID02866,Female,21,Mathematics,94.3,3.2,3.19,6.8,11,3.66
ID02915,Male,19,Mathematics,86.4,4.4,3.47,4.2,10,3.62
ID04980,Male,24,Economics,100.0,5.3,3.03,5.0,13,3.19
ID04289,Male,18,Psychology,84.6,4.4,3.04,7.8,3,3.42
ID02191,Male,24,Engineering,60.0,1.5,2.65,8.0,9,2.38
ID01217,Male,18,Economics,92.2,2.2,3.9,8.2,7,4.0
ID00774,Male,19,Mathematics,91.1,2.5,2.43,7.7,4,2.58
ID03942,Female,20,Economics,74.8,3.8,3.1,7.0,8,3.16
ID04766,Female,22,Computer Science,100.0,1.5,3.21,5.8,9,3.16
ID04297,Male,21,Psychology,94.1,5.2,2.21,7.1,9,2.43
